name,pos,age,team,games,3PM,3PA,3%,PPG
Clifford Ray,C,31,GSW,81,0.0,0.0,.000,6.0
Marlon Redmond,SG,24,KCK,24,0.0,0.4,.000,5.9
Robert Reid,SF,24,HOU,76,0.0,0.0,.000,13.0
Kevin Restani,SF,28,SAS,82,0.1,0.4,.172,10.7
Clint Richardson,SG,23,PHI,52,0.0,0.1,.333,6.7
Micheal Ray Richardson,SG,24,NYK,82,0.3,1.3,.245,15.3
Anthony Roberts,SF,24,DEN,23,0.0,0.0,.000,7.7
Rick Robey,C,24,BOS,82,0.0,0.0,.000,11.5
Cliff Robinson,PF,19,NJN,70,0.0,0.1,.250,13.6
Jackie Robinson,SF,24,DET,7,0.0,0.1,.000,3.9
Truck Robinson,PF,28,PHO,82,0.0,0.0,,17.3
Bill Robinzine,PF,27,KCK,81,0.0,0.0,.500,11.4
Dave Robisch,C,30,CLE,82,0.0,0.0,.000,15.3
John Roche,PG,30,DEN,82,0.6,1.6,.380,11.4
Tree Rollins,C,24,ATL,82,0.0,0.0,,8.9
Dan Roundfield,PF,26,ATL,81,0.0,0.0,.000,16.5
Campy Russell,SF,28,CLE,41,0.0,0.2,.111,18.2
Alvin Scott,SF,24,PHO,79,0.0,0.0,.333,4.4
Charlie Scott,SG,31,DEN,69,0.0,0.2,.182,9.3
Lonnie Shelton,PF,24,SEA,76,0.0,0.1,.200,13.6
Purvis Short,SF,22,GSW,62,0.0,0.1,.000,17.0
John Shumate,PF,27,DET,9,0.0,0.0,,9.7
John Shumate,PF,27,HOU,29,0.0,0.0,,3.5
John Shumate,PF,27,SAS,27,0.0,0.0,.000,14.5
Jack Sikma,C,24,SEA,82,0.0,0.0,.000,14.3
James Silas,PG,30,SAS,77,0.0,0.1,.000,17.7
Paul Silas,PF,36,SEA,82,0.0,0.0,,3.8
Ralph Simpson,SG,30,NJN,8,0.0,0.3,.000,5.1
Al Skinner,SG,27,PHI,2,0.0,0.0,,1.0
Bingo Smith,SG,33,CLE,8,0.1,0.6,.200,9.3
Bingo Smith,SF,33,SDC,70,0.3,1.1,.289,11.7
Phil Smith,SG,27,GSW,51,0.1,0.4,.318,15.5
Randy Smith,SG,31,CLE,82,0.1,0.6,.189,17.6
Robert Smith,PG,24,UTA,6,0.0,0.0,,2.5
Robert Smith,PG,24,NJN,59,0.1,0.4,.308,5.2
Sam Smith,SF,25,CHI,30,0.3,1.2,.229,8.6
Willie Smith,PG,26,CLE,62,0.3,1.1,.239,4.8
Ricky Sobers,PG,27,CHI,82,0.3,0.8,.309,14.2
